sample,reaction,lb,ub
WT1,CHORM,0.0,1000.0
WT1,CHORS,0.0,0.1436974789915961
WT1,CHRPL,0.0,1000.0
WT1,CIGAMS,0.0,1000.0
WT1,CITLr,0.0,2.3500000000001364
WT1,CITabc,0.0,1000.0
WT1,CLPNS160190,-1000.0,1000.0
WT1,CMCBTFL,0.0,7.623310449781996e-05
WT1,CMCBTFU,0.0,7.623310449781996e-05
WT1,CMLDC,0.0,1000.0
WT1,CO2t,-1000.0,1000.0
WT1,COAt,-1000.0,1000.0
WT1,COBALTt5,-1000.0,1000.0
WT1,COCHL,0.0,1000.0
WT1,COt,-1000.0,1000.0
WT1,CPC6R,0.0,1000.0
WT1,CPPPGO,0.0,1000.0
WT1,CRNabc,0.0,1000.0
WT1,CS,0.0,3.133333333333894
WT1,CTPS1,0.0,1000.0
WT1,CTPS2,0.0,1000.0
WT1,CYANST,0.0,0.0
WT1,CYO1a,0.0,10.133333333333333
WT1,CYO1b,0.0,1000.0
WT1,CYRDAAT,0.0,1000.0
WT1,CYRDAR,0.0,1000.0
WT1,CYSS,0.0,0.03983402489626531
WT1,CYSTL,0.0,1000.0
WT1,CYSTS,0.0,1000.0
WT1,CYTBD,0.0,1000.0
WT1,CYTBD2,0.0,1000.0
WT1,CYTD,0.0,0.925
WT1,CYTDK2,0.0,1000.0
WT1,CYTDt2r,-1000.0,1000.0
WT1,CYTK1,-1000.0,1000.0
WT1,CYTK2,-1000.0,1000.0
WT1,Clt,-1000.0,1000.0
WT1,Cuabc,0.0,1000.0
WT1,Cut1,0.0,1000.0
WT1,DADA,0.0,1000.0
WT1,DADK,-1000.0,1000.0
WT1,DAGK160,0.0,1000.0
WT1,DALAOX,0.0,1000.0
WT1,DALAt2r,-1000.0,1000.0
WT1,DAPDC,0.0,1000.0
WT1,DAPE,-1000.0,1000.0
WT1,DASYN160,0.0,1000.0
WT1,DASYN160190,0.0,1000.0
WT1,DASYN190190,0.0,1000.0
WT1,DB4PS,0.0,1000.0
WT1,DBTSr,-1000.0,1000.0
WT1,DCPDP,0.0,1000.0
WT1,DCPDPP,0.0,1000.0
WT1,DCPDPS,0.0,1000.0
WT1,DCPE,-2.924314552225546e-13,0.0007065314468564189
WT1,DCPT,0.0,1000.0
WT1,DCTPD,0.0,1000.0
WT1,DCTPD2,0.0,1000.0
WT1,DCYTD,0.0,1000.0
WT1,DDPA,0.0,1000.0
WT1,DESAT16,0.0,0.3133333333333516
WT1,DESAT18,0.0,0.13061224489795908
WT1,DGC3D,0.0,1000.0
WT1,DGK1,-1000.0,1000.0
WT1,DHAD1,0.0,1000.0
WT1,DHAD2,0.0,1000.0
WT1,DHDPRy,0.0,1000.0
WT1,DHDPS,0.0,0.20000000000000032
WT1,DHFR,-1000.0,1000.0
WT1,DHFS,0.0,1000.0
WT1,DHNAOT,0.0,1000.0
WT1,DHNPA,0.0,1.0890543421737675e-05
WT1,DHNPA2,0.0,1.0890543421737675e-05
WT1,DHORTS,-1000.0,1000.0
WT1,DHPPDA,0.0,1000.0
WT1,DHPPDA2,0.0,1000.0
WT1,DHPS2,0.0,1.0890543421737675e-05
WT1,DHQD,-1000.0,1000.0
WT1,DHQS,0.0,1000.0
WT1,DMATT,0.0,1000.0
WT1,DMPPS,0.0,0.1333333333331486
WT1,DNMPPA,0.0,1000.0
WT1,DNTPPA,0.0,1000.0
WT1,DPCOAK,0.0,1000.0
WT1,DPPS,0.0,1000.0
WT1,DPR,0.0,0.018670438472418085
WT1,DRPA,0.0,0.09576059850374061
WT1,DSERt2r,-1000.0,1000.0
WT1,DTMPK,-1000.0,1000.0
WT1,DURIK1,0.0,0.0
WT1,DURIPP,-1000.0,1000.0
WT1,DUTPDP,0.0,1000.0
WT1,DXPRIi,0.0,0.1333333333333338
WT1,DXPS,0.0,1000.0
WT1,ENO,-1000.0,1000.0
WT1,ETHAt,-1000.0,1000.0
WT1,EX_acysbmn,0.0,1000.0
WT1,EX_ala_B,0.0,1000.0
WT1,EX_ala_D,0.0,1000.0
WT1,EX_ala_L,0.0,1000.0
WT1,EX_arab_D,0.0,1000.0
WT1,EX_arab_L,0.0,1000.0
WT1,EX_arg_L,0.0,1000.0
WT1,EX_asn_L,0.0,1000.0
WT1,EX_asp_L,0.0,1000.0
WT1,EX_atp,0.0,1000.0
WT1,EX_bmn,0.0,1000.0
WT1,EX_ca2,-1000.0,1000.0
WT1,EX_chol,0.0,1000.0
WT1,EX_cit,-1.0,1000.0
WT1,EX_cl,-1000.0,1000.0
WT1,EX_co2,-1000.0,1000.0
WT1,EX_coa,0.0,1000.0
WT1,EX_cobalt2,0.0,1000.0
WT1,EX_crn,0.0,1000.0
WT1,EX_cu2,-1000.0,1000.0
WT1,EX_cytd,0.0,1000.0
WT1,EX_etha,0.0,1000.0
WT1,EX_fe2,-1000.0,1000.0
WT1,EX_fe3,-1000.0,1000.0
WT1,EX_fum,0.0,1000.0
WT1,EX_gal,0.0,1000.0
WT1,EX_glc,0.0,1000.0
WT1,EX_glu_L,-1.0,1000.0
WT1,EX_gly,0.0,1000.0
WT1,EX_glyb,0.0,1000.0
WT1,EX_glyc3p,0.0,1000.0
WT1,EX_glyc,0.0,1000.0
WT1,EX_gthrd,0.0,1000.0
WT1,EX_h2,0.0,1000.0
WT1,EX_h2co3,-1000.0,1000.0
WT1,EX_h2o,0.0,1000.0
WT1,EX_h2s,0.0,1000.0
WT1,EX_h,-1000.0,1000.0
WT1,EX_hdca,0.0,1000.0
WT1,EX_his_L,0.0,1000.0
WT1,EX_id3acald,0.0,1000.0
WT1,EX_ile_L,0.0,1000.0
WT1,EX_k,-1000.0,1000.0
WT1,EX_lac_L,0.0,1000.0
WT1,EX_lcts,0.0,1000.0
WT1,EX_leu_L,0.0,1000.0
WT1,EX_lys_L,0.0,1000.0
WT1,EX_mal_L,0.0,1000.0
WT1,EX_malt,0.0,1000.0
WT1,EX_malthp,0.0,1000.0
WT1,EX_meoh,0.0,1000.0
WT1,EX_met_L,0.0,1000.0
WT1,EX_mg2,-1000.0,1000.0
WT1,EX_na1,-1000.0,1000.0
WT1,EX_nh4,-20.0,1000.0
WT1,EX_no2,0.0,1000.0
WT1,EX_no3,0.0,1000.0
WT1,EX_no,0.0,1000.0
WT1,EX_o2,-20.0,1000.0
WT1,EX_ocdca,0.0,1000.0
WT1,EX_orn,0.0,1000.0
WT1,EX_pac,0.0,1000.0
WT1,EX_pdima,0.0,1000.0
WT1,EX_phdca,0.0,1000.0
WT1,EX_phe_L,0.0,1000.0
WT1,EX_pi,-1000.0,1000.0
WT1,EX_ppa,0.0,1000.0
WT1,EX_ppdima,0.0,1000.0
WT1,EX_pro_L,0.0,1000.0
WT1,EX_pyr,0.0,1000.0
WT1,EX_rib_D,0.0,1000.0
WT1,EX_ser_D,0.0,1000.0
WT1,EX_ser_L,0.0,1000.0
WT1,EX_skm,0.0,1000.0
WT1,EX_so4,-1000.0,1000.0
WT1,EX_succ,0.0,1000.0
WT1,EX_tartr_L,0.0,1000.0
WT1,EX_thr_L,0.0,1000.0
WT1,EX_tre,0.0,1000.0
WT1,EX_trp_L,0.0,1000.0
WT1,EX_tsul,0.0,1000.0
WT1,EX_ttdca,0.0,1000.0
WT1,EX_tyr_L,0.0,1000.0
WT1,EX_val_L,0.0,1000.0
WT1,EX_ac,-10.0,1000.0
WT1,EX_4abz,0.0,1000.0
WT1,EX_for,0.0,1000.0
WT1,EX_akg,0.0,1000.0
WT1,EX_gua,0.0,1000.0
WT1,EX_ad,0.0,1000.0
WT1,Adt,-1000.0,1000.0
WT1,EX_urea,0.0,1000.0
WT1,FACOAE140,0.0,1000.0
WT1,FACOAE160,0.0,1000.0
WT1,FACOAE180,0.0,1000.0
WT1,FACOAL140,0.0,1.1750000005352517
WT1,FACOAL160,-1000.0,1000.0
WT1,FACOAL161,-0.3133333333335031,0.0549999999999999
WT1,FACOAL180,0.0,1.1750000073829383
WT1,FACOAL181,-1000.0,1000.0
WT1,FACOAL200,0.0,0.003353056265571781
WT1,FACOAL80,-1000.0,1000.0
WT1,FACOALPHDCA,-1000.0,1000.0
WT1,FACOALPREPH,-0.0033333336945360337,1.1749999999999545
WT1,FAH4,0.0,1000.0
WT1,FAMPL1,0.0,0.00022038173727558373
WT1,FAMPL2,0.0,0.00016040992513799424
WT1,FAMPL3,0.0,0.00013037912828650633
WT1,FAMPL4,-1.2412602760164308e-14,2.9989671270325147e-05
WT1,FAMPL5,0.0,0.00013030425648707933
WT1,FAO1,0.0,1000.0
WT1,FAO10,0.0,1000.0
WT1,FAO11,0.0,1000.0
WT1,FAO2,0.0,1000.0
WT1,FAO3,0.0,1000.0
WT1,FAS100,0.0,0.10158730158730161
WT1,FAS120,0.0,0.1015873015873103
WT1,FAS140,0.0,1000.0
WT1,FAS160,0.0,0.055000000000000014
WT1,FAS161,0.0,0.054999999999999986
WT1,FAS180,0.0,0.13061224489795892
WT1,FAS181,0.0,0.14222222222222208
WT1,FAS200,0.0,0.010000000702559252
WT1,FAS240_L,0.0,0.002077461002000591
WT1,FAS260,0.0,0.002077461002208311
WT1,FAS80_L,0.0,0.10322580645161294
WT1,FASPHDCA,0.0,1000.0
WT1,FASm1601,-6.626064841558431e-15,1.600895194454219e-05
WT1,FASm180,0.0,0.002140884222380584
WT1,FASm1801,0.0,1.6009051943655095e-05
WT1,FASm2001,0.0,1.6009051943655095e-05
WT1,FASm2002,0.0,0.00010013762796404993
WT1,FASm220,0.0,1000.0
WT1,FASm2201,0.0,1000.0
WT1,FASm2202,0.0,1000.0
WT1,FASm240,0.0,1000.0
WT1,FASm2401,0.0,1000.0
WT1,FASm2402,0.0,1000.0
WT1,FASm260,0.0,1000.0
WT1,FASm2601,0.0,1000.0
WT1,FASm2602,0.0,1000.0
WT1,FASm280,0.0,1000.0
WT1,FASm2801,0.0,1000.0
WT1,FASm2802,0.0,1000.0
WT1,FASm300,0.0,1000.0
WT1,FASm3001,0.0,1000.0
WT1,FASm320,0.0,1000.0
WT1,FASm340,0.0,1000.0
WT1,FBA,-1000.0,1000.0
WT1,FBP,0.0,2.3500000004331225
WT1,FCLPA,-1000.0,1000.0
WT1,FCLT,0.0,1000.0
WT1,FCLT2,0.0,1000.0
WT1,FCOAH2,0.0,1000.0
WT1,FDH,0.0,1000.0
WT1,FE3Ri,0.0,1000.0
WT1,FETRANS,-1000.0,1000.0
WT1,FHL,0.0,1000.0
WT1,FMNAT,0.0,1000.0
WT1,FOLD3,0.0,1.0890443435745967e-05
WT1,FOLR2,0.0,1000.0
WT1,FOMETR,-1000.0,1000.0
WT1,FORMCOAL,-1000.0,1000.0
WT1,FRD,0.0,1000.0
WT1,FRD2,0.0,1000.0
WT1,FRD3,0.0,1000.0
WT1,FRRPPDIMAS,0.0,1000.0
WT1,FTHFCL,0.0,1000.0
WT1,FTHFD,0.0,1000.0
WT1,FUM,-1000.0,1000.0
WT1,FUMt2r,-1000.0,1000.0
WT1,G16MTM1,0.0,1000.0
WT1,G16MTM10,0.0,1000.0
WT1,G16MTM2,0.0,1000.0
WT1,G16MTM4,0.0,1000.0
WT1,G16MTM5,0.0,1000.0
WT1,G16MTM6,0.0,1000.0
WT1,G16MTM7,0.0,1000.0
WT1,G16MTM8,0.0,1000.0
WT1,G16MTM9,0.0,1000.0
WT1,G1PACT,0.0,1000.0
WT1,G1PTT,0.0,1000.0
WT1,G1SATi,0.0,1000.0
WT1,G3PAT160,0.0,1000.0
WT1,G3PAT190,0.0,1000.0
WT1,G5SADs,0.0,1000.0
WT1,G5SD,0.0,1000.0
WT1,G5SD2,0.0,1000.0
WT1,G6PDH2,0.0,1000.0
WT1,GALFT,0.0,1000.0
WT1,GALKr,0.0,0.0
WT1,GALT,-1000.0,1000.0
WT1,GALUi,0.0,1000.0
WT1,GALt2,0.0,1000.0
WT1,GAPD,-1000.0,1000.0
WT1,GARFT,0.0,1000.0
WT1,GCCa,0.0,1.0000000000000002
WT1,GCCb,0.0,1000.0
WT1,GCCc,0.0,1000.0
WT1,GF6PTAr,-1000.0,1000.0
WT1,GFUCS,0.0,1000.0
WT1,GGLUCT2,0.0,1000.0
WT1,GHMT2,0.0,1.000000000024689
WT1,GK1,-1000.0,1000.0
WT1,GLCabc,0.0,1000.0
WT1,GLGC,0.0,1000.0
WT1,GLNS,0.0,2.35
WT1,GLNSP1,0.0,1000.0
WT1,GLNSP2,0.0,1000.0
WT1,GLNSP3,0.0,1000.0
WT1,GLU5K,0.0,1000.0
WT1,GLUCYS,0.0,1000.0
WT1,GLUDC,0.0,0.8
WT1,GLUDx,-1000.0,1000.0
WT1,GLUPRT,0.0,0.01867043847241825
WT1,GLUR,-1000.0,1000.0
WT1,GLUSy,0.0,1000.0
WT1,GLUt2r,-1000.0,1000.0
WT1,GLXO1,0.0,1000.0
WT1,GLYBabc,0.0,1000.0
WT1,GLYC3Pabc,0.0,0.0
WT1,GLYCK,0.0,1000.0
WT1,GLYCL,0.0,1000.0
WT1,GLYCTO1,0.0,1000.0
WT1,GLYCTO2,0.0,1000.0
WT1,GLYCTO3,0.0,1000.0
WT1,GLYCTO4,0.0,1000.0
WT1,GLYCt,-1000.0,1000.0
WT1,GLYK,0.0,1000.0
WT1,GLYt2r,-1000.0,1000.0
WT1,GMAND,0.0,1000.0
WT1,GMPS2,0.0,1000.0
WT1,GMT1,0.0,5.114424528541251e-05
WT1,GND,0.0,1000.0
WT1,GPDDA2,0.0,0.3133333333932495
WT1,GRTT,0.0,0.033333333333333326
WT1,GSNK,0.0,1000.0
WT1,GTHOr,-1000.0,1000.0
WT1,GTHRDt2,0.0,0.0
WT1,GTHS,0.0,1000.0
WT1,GTMLT,0.0,0.6166666666666668
WT1,GTPCI,0.0,9.022475928672116e-06
WT1,GTPCII,0.0,1000.0
WT1,GTPCII2,0.0,1000.0
WT1,GTPDPK,0.0,0.783333333681083
WT1,GTPH1,0.0,1.1749999999999998
WT1,GUACYC,0.0,1.1749999999999998
WT1,GUAD,0.0,1000.0
WT1,GUAPRT,0.0,1000.0
WT1,H2CO3D,-1000.0,1000.0
WT1,H2CO3TP,-1000.0,1000.0
WT1,H2Ot,-1000.0,1000.0
WT1,H2St1,0.0,1000.0
WT1,H2td,-1000.0,1000.0
WT1,HCO3E,-1000.0,1000.0
WT1,HCYSMT,0.0,1000.0
WT1,HDCAt2,0.0,1000.0
WT1,HEX1,0.0,1000.0
WT1,HISTD,0.0,0.10816901408438022
WT1,HISTP,0.0,1000.0
WT1,HISt2r,-1000.0,1000.0
WT1,HMBS,0.0,1000.0
WT1,HMPK1,0.0,1000.0
WT1,HMPK2,0.0,1000.0
WT1,HMPK3,0.0,1000.0
WT1,HMPK4,0.0,1000.0
WT1,HOPNTAL,0.0,0.0
WT1,HPPK,0.0,1.0890443499687874e-05
WT1,HPPK2,0.0,1.0890543421737675e-05
WT1,HSDy,-1000.0,0.0
WT1,HSERTA,-1000.0,1000.0
WT1,HSK,0.0,1000.0
WT1,HSST,0.0,1000.0
WT1,HSTPT,0.0,1000.0
WT1,HXPRT,0.0,1000.0
WT1,ICDHy,0.0,1000.0
WT1,ICHORSi,0.0,1000.0
WT1,ICL,0.0,1000.0
WT1,ID3ACALDt,-1000.0,1000.0
WT1,IG3PS,0.0,1000.0
WT1,IGAMD,0.0,1000.0
WT1,IGPDH,0.0,1000.0
WT1,IGPS,0.0,1000.0
WT1,ILETA,-1000.0,1000.0
WT1,ILEt2r,-1000.0,1000.0
WT1,IMPC,-1000.0,1000.0
WT1,IMPD,0.0,1000.0
WT1,INDPYRD,-1000.0,1000.0
WT1,INSH,0.0,0.6166666666666666
WT1,INSK,0.0,1000.0
WT1,IPDDI,-1000.0,1000.0
WT1,IPDPS,0.0,1000.0
WT1,IPMD,0.0,1000.0
WT1,IPPMIa,-1000.0,1000.0
WT1,IPPMIb,-1000.0,1000.0
WT1,IPPS,0.0,0.3000000000000718
WT1,KARA1i,0.0,1000.0
WT1,KARA2i,0.0,1000.0
WT1,Kabc,0.0,1000.0
WT1,Kt3r,-1000.0,0.0
WT1,LACZ,0.0,1000.0
WT1,LCTSabc,0.0,0.0
WT1,LDH_L,-1000.0,1000.0
WT1,LEUTA,-1000.0,1000.0
WT1,LEUt2r,-1000.0,1000.0
WT1,LO,0.0,1000.0
WT1,LPLIPAL2E160,0.0,1000.0
WT1,LPLIPAL2E180,0.0,0.0
WT1,LYSt5r,-1000.0,1000.0
WT1,L_LACD,0.0,3.3500000000002563
WT1,L_LACD2,0.0,10.133333333333333
WT1,L_LACD3,0.0,10.133333333333333
WT1,L_LACt2r,-1000.0,1000.0
WT1,L_LACt3,0.0,1000.0
WT1,MALS,0.0,3.1333333333333337
WT1,MALT,0.0,1000.0
WT1,MALTHPabc,0.0,1000.0
WT1,MALTabc,0.0,1000.0
WT1,MALt2r,-1000.0,1000.0
WT1,MAN1PT,0.0,1000.0
WT1,MAN1PT2,0.0,1000.0
WT1,MAN6PI,-1000.0,1000.0
WT1,MANAT1,0.0,1000.0
WT1,MANAT2,0.0,1000.0
WT1,MANAT3,0.0,1000.0
WT1,MCBTS,0.0,3.094448221474657e-08
WT1,MCBTS2,0.0,3.113654399110434e-08
WT1,MCBTS3,0.0,0.0
WT1,MCD,0.0,1000.0
WT1,MCOATA,0.0,0.48944543828276565
WT1,MDFDH,-1000.0,1000.0
WT1,MDH,-1000.0,1000.0
WT1,ME1,0.0,1000.0
WT1,MECDPDH,0.0,1000.0
WT1,MECDPS,0.0,0.1333333333333333
WT1,MEOHt2,-1000.0,1000.0
WT1,MEPCT,0.0,0.13333333333357084
WT1,METAT,0.0,1000.0
WT1,METOX1s,0.0,1000.0
WT1,METOX2s,0.0,1000.0
WT1,METS,0.0,1000.0
WT1,METSOXR1,0.0,1000.0
WT1,METSOXR2,0.0,1000.0
WT1,METabc,0.0,1000.0
WT1,MGt5,-1000.0,1000.0
WT1,MHPGLUT,0.0,0.0
WT1,MI1PP,0.0,0.6166666666666665
WT1,MI1PS,0.0,0.00016859767843338715
WT1,MI3PP,0.0,0.00016859767840331138
WT1,MMCD,0.0,2.350000000423185
WT1,MME,-0.2478260869565414,0.0
WT1,MMM2r,-1000.0,0.0
WT1,MMSAD1,0.0,0.24782608712496312
WT1,MMSAD2,0.0,0.0
WT1,MN6PP,0.0,1000.0
WT1,MNDNS1,0.0,1000.0
WT1,MNDNS2,0.0,1000.0
WT1,MOHMT,0.0,0.018670438472419327
WT1,MPML,0.0,0.0
WT1,MSHAMID,0.0,0.0
WT1,MSHOXH,0.0,1000.0
WT1,MSHS,0.0,1000.0
WT1,MTAN,0.0,1000.0
WT1,MTHFC,-1000.0,1000.0
WT1,MTHFD,-1000.0,1000.0
WT1,MTHFR2,0.0,1000.0
WT1,MTI,-1000.0,1000.0
WT1,MYC1CYC1,0.0,1000.0
WT1,MYC1CYC2,0.0,1000.0
WT1,MYC1CYC3,0.0,1000.0
WT1,MYC1CYC4,0.0,1000.0
WT1,MYC1CYC5,0.0,1000.0
WT1,MYC1M1,0.0,1000.0
WT1,MYC1M2,0.0,1000.0
WT1,MYC2CYC1,0.0,1000.0
WT1,MYC2CYC2,0.0,1000.0
WT1,MYC2CYC3,0.0,1000.0
WT1,MYCON1,0.0,0.0002203817372705728
WT1,MYCON2,0.0,0.00016040952623974647
WT1,MYCON3,0.0,0.00013037912828650633
WT1,MYCON4,0.0,2.9989558787267387e-05
WT1,MYCON5,0.0,0.00013030425648707933
WT1,MYCSacp50,0.0,1000.0
WT1,MYCSacp56,0.0,1000.0
WT1,MYCSacp58,0.0,1000.0
WT1,MYCTR,-1000.0,1000.0
WT1,MYCTR2,0.0,1000.0
WT1,NADH10,0.0,9.133333333334699
WT1,NADH2r,-7.399999999999994,1000.0
WT1,NADH5,0.0,10.133333333333333
WT1,NADH9,0.0,0.43720930232562905
WT1,NADK,0.0,1000.0
WT1,NADS2,0.0,1000.0
WT1,NADTRHD,0.0,1000.0
WT1,NAKtr,0.0,1000.0
WT1,NAPRTr,-1000.0,1000.0
WT1,NARK,0.0,1000.0
WT1,NAt3_1,0.0,1000.0
WT1,NDPK1,-1000.0,1000.0
WT1,NDPK2,-1000.0,1000.0
WT1,NDPK3,-1000.0,1000.0
WT1,NDPK4,-1000.0,1000.0
WT1,NDPK5,-1000.0,1000.0
WT1,NDPK6,-1000.0,1000.0
WT1,NDPK7,-1000.0,1000.0
WT1,NDPK8,-1000.0,1000.0
WT1,NH4OHDs,-1000.0,1000.0
WT1,NH4t,-1000.0,1000.0
WT1,NNAM,0.0,0.0
WT1,NNAT,0.0,1000.0
WT1,NNDMBRT,0.0,1000.0
WT1,NNDPR,-2.741761488527196e-14,0.0003920559659891243
WT1,NO,0.0,1000.0
WT1,NO3R1,0.0,0.0
WT1,NO3R2,0.0,1000.0
WT1,NOt,-1000.0,1000.0
WT1,NPHS,0.0,1000.0
WT1,NTD1,0.0,1000.0
WT1,NTD10,0.0,1000.0
WT1,NTD11,0.0,1000.0
WT1,NTD2,0.0,1000.0
WT1,NTD3,0.0,1000.0
WT1,NTD4,0.0,1000.0
WT1,NTD5,0.0,1000.0
WT1,NTD6,0.0,1000.0
WT1,NTD7,0.0,1000.0
WT1,NTD8,0.0,1000.0
WT1,NTD9,0.0,1000.0
WT1,NTPP2,0.0,1000.0
WT1,NTPP3,0.0,1000.0
WT1,NTPP4,0.0,0.925
WT1,NTPP5,0.0,1000.0
WT1,NTPP7,0.0,1000.0
WT1,NTPP8,0.0,1000.0
WT1,NTPTP1,0.0,1000.0
WT1,NTPTP2,0.0,1000.0
WT1,NTRIR2x,0.0,1000.0
WT1,NTRIRx,0.0,1000.0
WT1,NTRIRy,0.0,1000.0
WT1,O16RHAT,0.0,1000.0
WT1,O2t,-1000.0,1000.0
WT1,OCBT,-1000.0,1000.0
WT1,OCDCAt2,0.0,1000.0
WT1,OCOAT1r,-1000.0,1000.0
WT1,OMCDC,0.0,1000.0
WT1,OMPDC,0.0,1000.0
WT1,OPAH,-1000.0,1000.0
WT1,ORNTA,0.0,1000.0
WT1,ORNTAC,-1000.0,1000.0
WT1,ORNt,-1000.0,1000.0
WT1,ORPT,-1000.0,1000.0
WT1,OXACOAL,-1000.0,1000.0
WT1,OXCDC,0.0,1000.0
WT1,OXGDC,0.0,1000.0
WT1,P5CD,0.0,1.8499999999999996
WT1,P5CR,0.0,1000.0
WT1,P5CRx,0.0,1000.0
WT1,PACt2r,-1000.0,1000.0
WT1,PANTS,0.0,1000.0
WT1,PAPA160,0.0,1.85
WT1,PAPPT1,0.0,1000.0
WT1,PAPPT2,0.0,1000.0
WT1,PAPPT3,0.0,1000.0
WT1,PAPR,-1000.0,1000.0
WT1,PATS,0.0,1000.0
WT1,PC,0.0,1000.0
WT1,PC11M,0.0,0.0
WT1,PC17M,0.0,1000.0
WT1,PC20M,0.0,1000.0
